,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
MTN,0.0,2.0,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
MYA,0.0,0.695003682643355,0.0,0.0,0.0,-4.824558165895713e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
NAM,0.0,8.11547274452667,0.0,0.0,0.0,-4.824558165895735e-06,0.0,0.2892075030886198,0.0,0.0,0.0,43.70753472066744,0
NBO,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
NCA,0.0,6.484372176295344,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
NED,71.0,139.794444757327,0.0,1.931215249335275,0.0,0.097787642439526,5.048773980979066,27.427909739659107,22.989225654508697,0.0,10.562860902987529,49.79612594357996,0
NEP,0.0,5.963907777562063,0.0,0.0,0.0,-4.8245581658957044e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
NFL,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
NGR,4.440892098500626e-16,38.144883339058524,0.0,0.0,0.0,0.06995211471661862,0.0,0.6238713203520263,0.0,0.0,0.971962740315748,33.42963710727249,0
NIG,0.0,7.123609881058494,0.0,0.0,0.0,0.0015751979019129891,0.0,0.05686101078452095,0.0,0.0,0.0,60.58380608250991,0
NOR,17.0,60.89227161523087,0.0,3.1592863232872896,0.0,0.07940995061582373,0.0,12.202212312707085,4.185529951700124,0.0,-2.2560017749198025,52.70456921025218,0
NRU,0.0,1.784365384103507,0.0,0.0,0.0,-4.824558165895734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
NZL,47.0,102.75839762101096,0.0,0.0,0.0,-4.82455816589571e-06,0.11209274167201873,14.651450779778923,36.18507315635784,0.0,4.030356274474656,50.91671099875554,0
OMA,0.0,3.868848738054914,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
PAK,3.0,9.153328600906672,0.0,0.0,0.0,-4.824558165895713e-06,-0.08199632356076596,0.3516695868387756,0.0,0.0,0.0,54.68094845769698,0
PAN,2.0000000000000004,13.29246791177437,0.0,0.0,0.0,-4.824558165895713e-06,0.0,0.36848370299029853,0.0,0.0,0.0,31.816913593826936,0
PAR,0.0,9.692023589334939,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.24046583781638756,41.73384883489173,0
PER,1.0,22.991771194534103,0.0,0.11868082676777511,0.0,-4.824558165895737e-06,0.0,0.3181600831037047,0.0,0.0,2.000000930127365,46.76722503520236,0
PHI,8.0,26.717404170276936,0.0,11.999996919585717,0.0,-4.8245581658957205e-06,0.0,2.542119116199821,0.0,0.0,0.0,40.96810288689363,0
PLE,0.0,7.120616970809779,0.0,0.0,0.0,-4.824558165895734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
PLW,0.0,3.090835880150503,0.0,0.0,0.0,-4.824558165895721e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
PNG,0.0,6.433119949735241,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
POL,14.999999999999998,140.77930195595528,0.0,0.6643833897727802,0.0,0.16998299383419999,6.000000042135291,7.090977342223297,7.156283901682386,0.0,0.6445073243785825,46.06970138529006,0
POR,8.0,66.30016717511984,0.0,0.0,0.0,-4.82455816589571e-06,0.0,3.0631880843067183,3.6259635658775853,0.0,-0.5292911662948468,57.91154899718739,0
PRK,8.0,20.132975167656415,0.0,-1.0004555113702355e-12,0.0,-1.1344484870839662,5.999998364419355,8.818169799709,0.0,0.0,0.0,15.9938105636287,0
PUR,2.0,26.36446200090298,0.0,0.0,0.0,-4.824558165895721e-06,0.0,1.3307129431651648,0.0,0.0,1.877706156558324,43.399691249879375,0
QAT,1.0000000000000009,15.103839754435464,0.0,0.9733977215251244,0.0,-4.824558165895686e-06,0.0,2.31174619002984,0.0,0.0,0.0,87.3968108587938,0
RHO,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
